seed,method,iterations,restarts,time_s,objective,rel_error,mse,snr_db,support_f1
0,PRP+,118,0,0.449168400002236,6.3300666731546755,0.23468233545563585,0.0021513983818324846,12.590391970521264,0.8602150537634409
0,GPSR-BB,25,0,0.03855249999833177,6.330345760154386,0.24032803013998258,0.0022561547683970463,12.383911464888415,0.8355091383812011
0,ISTA,81,0,0.14577070000086678,6.330754793371232,0.2434858045980643,0.0023158334781549516,12.270527067996149,0.8290155440414507
0,FISTA,30,0,0.05031070000040927,6.33036348776071,0.2327077665558233,0.0021153478365390447,12.663782440320336,0.8719346049046321
1,PRP+,126,0,0.47327990000121645,6.235605238461984,0.22651174281492173,0.0020042019387911426,12.898185567722557,0.851063829787234
1,GPSR-BB,24,0,0.03655320000325446,6.23603605191449,0.23266338030367545,0.0021145409583723717,12.665439328983823,0.8247422680412371
1,ISTA,82,0,0.14282319999983883,6.23621614141047,0.23453019208518233,0.002148609804668458,12.596024814887816,0.8205128205128205
1,FISTA,38,0,0.06328900000153226,6.236119887628549,0.23293640345620667,0.00211950656465284,12.655252686609623,0.8311688311688311
2,PRP+,128,1,0.6230009999999311,6.598158876551697,0.24206464059547944,0.002288878524477291,12.321372903094192,0.8672086720867208
2,GPSR-BB,23,0,0.046963200002210215,6.59846306452445,0.2477492082265944,0.00239764336628533,12.119754495753474,0.8443271767810027
2,ISTA,76,0,0.20987649999733549,6.598780975587142,0.2500255584817009,0.0024419054646127518,12.040311879342159,0.837696335078534
2,FISTA,31,0,0.07032279999839375,6.598510902337753,0.2461021960944513,0.0023658707391606163,12.177690217008841,0.8533333333333333
3,PRP+,121,1,0.623781999998755,6.7008426640726535,0.2417086188128764,0.0022821506409542343,12.334157266059947,0.8695652173913044
3,GPSR-BB,22,0,0.04121279999890248,6.701048209056506,0.24585550142255985,0.002361129983583529,12.18640138418751,0.8355091383812011
3,ISTA,74,0,0.15755189999981667,6.701458273084327,0.24947958203231801,0.0024312524160554727,12.059299844383006,0.8268733850129198
3,FISTA,36,0,0.07265129999723285,6.701364099827437,0.24786625922959893,0.0023999094712685446,12.115651750057326,0.8443271767810027
4,PRP+,104,0,0.4893554000009317,7.041314053349489,0.23687264174046962,0.002191744078324566,12.509701928412388,0.896358543417367
4,GPSR-BB,20,0,0.04181370000151219,7.041600843047755,0.24115604243865948,0.0022717280001826774,12.354037037281064,0.886426592797784
4,ISTA,67,0,0.13417570000092383,7.04178398745939,0.24307569068417295,0.002308038726624521,12.285169431081698,0.886426592797784
4,FISTA,35,0,0.06867090000014286,7.041680596086095,0.24133960022004802,0.00227518760290518,12.347428220258463,0.8913649025069639
5,PRP+,110,1,0.7701739000003727,6.8535002490970545,0.23259313432110107,0.002113264302082569,12.668062178262083,0.9065155807365439
5,GPSR-BB,19,0,0.039567099996929755,6.853681695551258,0.2366469384759755,0.002187569276955162,12.517982193375953,0.893854748603352
5,ISTA,64,0,0.16614910000134842,6.853959934404527,0.23873797228956056,0.002226399195817617,12.441569982306666,0.8913649025069639
5,FISTA,34,0,0.08749709999756305,6.85392149032864,0.2371380094560265,0.0021966576378424424,12.499976598714344,0.898876404494382
6,PRP+,119,0,0.7030732999992324,6.816279154666395,0.25098573839906685,0.0024606969093642515,12.007019109068985,0.8743169398907104
6,GPSR-BB,22,0,0.042627499999071006,6.81655075700988,0.25579517075832964,0.0025559050540344937,11.842153179383967,0.8488063660477454
6,ISTA,70,0,0.14546569999947678,6.8168654310194245,0.2587639677090509,0.0026155777728332323,11.741923966140671,0.8421052631578948
6,FISTA,29,0,0.06708380000054603,6.816541132012122,0.2530164980139769,0.002500677666689719,11.937023192070233,0.8719346049046321
7,PRP+,111,0,0.5131586999996216,6.8025915385899385,0.2208448018629443,0.0019051729105423099,13.11825636993272,0.8913649025069639
7,GPSR-BB,20,0,0.039097400000173366,6.802865682365505,0.22497283672842672,0.0019770616119388807,12.957398310759752,0.8815426997245179
7,ISTA,67,0,0.13804989999698591,6.803115973684302,0.22729019000808426,0.0020180011903871507,12.868386166037016,0.8767123287671234
7,FISTA,35,0,0.07267419999698177,6.802944447231442,0.2249901817845251,0.0019773664804466273,12.956728667980624,0.886426592797784
8,PRP+,105,1,0.5231266000009782,7.1613064042277035,0.2349821145488831,0.0021568982092915793,12.579303848040087,0.9014084507042254
8,GPSR-BB,19,0,0.03715329999977257,7.161630866019355,0.23993835780618236,0.002248844357294047,12.398006357698193,0.886426592797784
8,ISTA,65,0,0.12853650000033667,7.161775740303867,0.24085759062522627,0.0022661085531948864,12.364793246928352,0.8791208791208792
8,FISTA,34,0,0.08118409999951837,7.161690953872399,0.23913534495352978,0.002233816922111082,12.427124581086645,0.896358543417367
9,PRP+,118,0,0.5613207000023976,6.444101741116312,0.24055805624591692,0.0022604757197192864,12.375601881479923,0.8398950131233596
9,GPSR-BB,25,0,0.05684759999712696,6.444452412970117,0.24720599002712343,0.0023871406838004007,12.138820202068295,0.8163265306122449
9,ISTA,80,0,0.1805534000013722,6.444855561737937,0.2501136583569252,0.0024436266444017455,12.037251828158501,0.8080808080808081
9,FISTA,30,0,0.06030010000176844,6.444413307479139,0.23732736474243235,0.002200167111546388,12.493043661994971,0.8488063660477454
